Species,Protected,Endemic,Migratory
Accipiter badius,Y,,
Accipiter cirrocephalus,Y,,
Accipiter erythrauchen,Y,Y,
Accipiter fasciatus,Y,,
Accipiter griseiceps,Y,Y,
Accipiter gularis,Y,,Y
Accipiter henicogrammus,Y,Y,
Accipiter hiogaster,Y,,
Accipiter melanochlamys,Y,,
Accipiter meyerianus,Y,,
Accipiter nanus,Y,Y,
Accipiter nisus,Y,,
Accipiter poliocephalus,Y,,
Accipiter rhodogaster,Y,Y,
Accipiter soloensis,Y,,Y
Accipiter sylvestris,Y,Y,
Accipiter trinotatus,Y,Y,
Accipiter trivirgatus,Y,,
Accipiter virgatus,Y,,
Acerodon humilis,Y,,
Acridotheres cinereus,,Y,
Acridotheres javanicus,,Y,
Acridotheres melanopterus,Y,Y,
Acridotheres tertius,Y,,
Acridotheres tricolor,Y,,
Acrocephalus australis,,,Y
Acrocephalus bistrigiceps,,,Y
Acrocephalus orientalis,,,Y
Actenoides capucinus,Y,Y,
Actenoides concretus,Y,,
Actenoides monachus,Y,Y,
Actenoides princeps,Y,Y,
Actenoides regalis,,Y,
Actitis hypoleucos,,,Y
Aegotheles crinifrons,,Y,
Aepypodius arfakianus,Y,,
Aepypodius bruijnii,Y,Y,
Aerodramus infuscatus,,Y,
Aerodramus vulcanorum,Y,Y,
Aethopyga duyvenbodei,Y,Y,
Aethopyga eximia,,Y,
Aethopyga mystacalis,Y,Y,
Aethopyga siparaja,Y,,
Aetoxylon sympetalum,Y,,
Agathis labillardierei,Y,,
Agropsar philippensis,,,Y
Agropsar sturninus,,,Y
Ailuroedus buccoides,Y,,
Ailuroedus melanotis,Y,,
Ailurops melanotis,Y,,
Alcedo atthis,,,Y
Alcedo coerulescens,,Y,
Alcedo euryzona,Y,Y,
Alcedo peninsulae,Y,,
Alcippe pyrrhoptera,,Y,
Alisterus amboinensis,Y,Y,
Alisterus chloropterus,Y,,
Alophoixus bres,,Y,
Amaurornis isabellina,,Y,
Amaurornis magnirostris,Y,Y,
Amaurornis phoenicurus,,,Y
Amblyornis flavifrons,Y,Y,
Amblyornis inornata,Y,Y,
Amblyornis macgregoriae,Y,,
Amorphophallus decus-silvae,Y,,
Amorphophallus titanum,Y,,
Anaphalis javanica,Y,,
Anas acuta,,,Y
Anhinga melanogaster,Y,,
Anorrhinus galeritus,Y,,
Anous minutus,Y,,
Anous stolidus,Y,,
Anoxypristis cuspidata,Y,,
Anseranas semipalmata,Y,,
Anthracoceros albirostris,Y,,
Anthracoceros malayanus,Y,,
Anthreptes rhodolaemus,Y,,
Anthus cervinus,,,Y
Anthus gustavi,,,Y
Antigone rubicunda,Y,,
Anurophasis monorthonyx,,Y,
Apalharpactes mackloti,Y,Y,
Apalharpactes reinwardtii,Y,Y,
Aplonis crassa,,Y,
Aplonis magna,,Y,
Aplonis mysolensis,,Y,
Aprosmictus erythropterus,Y,,
Aprosmictus jonquillaceus,Y,,
Apus pacificus,,,Y
Aquila audax,Y,,
Aquila fasciata,Y,,
Aquila gurneyi,Y,,
